title,pr_number,user_facing_impact,category,decision,reason
[CI]Fix test nightly workflow. (#3603),3603,[CI]Fix test nightly workflow.,Ignore,Ignore,Internal/CI/test change
"Reapply ""[MoE] [Refactor] Remove manual memory cleanup (#3365)"" (#3483) (#3365)",3365,"Reapply ""[MoE] [Refactor] Remove manual memory cleanup",Ignore,Ignore,Internal/CI/test change
fix : support chunked_prefill with deepseek_mtp (#2711),2711,fix : support chunked_prefill with deepseek_mtp,Highlights,Include,Major feature
[Misc] clean up useless function (#3348),3348,[Misc] clean up useless function,Ignore,Ignore,Internal/CI/test change
[Feat] Dynamic Batch Feature (#3490),3490,[Feat] Dynamic Batch Feature,Features,Include,New feature
[Feat] add native kvcache offload (#3433),3433,[Feat] add native kvcache offload,Features,Include,New feature
[CI] Multi-Node CI scalable (#3611),3611,[CI] Multi-Node CI scalable,Ignore,Ignore,Internal/CI/test change
clean up uesless ut test (#3622),3622,clean up uesless ut test,Others,Include,Miscellaneous
unify logic between aclgraph and torchair (#3560),3560,unify logic between aclgraph and torchair,Highlights,Include,Major feature
[Fix] Fixes attribute error in MLA implementation (#3618),3618,[Fix] Fixes attribute error in MLA implementation,Features,Include,New feature
[BugFix][main] Fix quantization related mtp bug with patch (#3620),3620,[BugFix][main] Fix quantization related mtp bug with patch,Highlights,Include,Major feature
[Feat] Prefetching Attention QKV Linear Weight With `AddRmsNormQuant` Custom Op (#3517),3517,[Feat] Prefetching Attention QKV Linear Weight With `AddRmsNormQuant` Custom Op,Hardware and Operator Support,Include,Operator/hardware support
[Doc] Upgrade docker run command (#3645),3645,[Doc] Upgrade docker run command,Documentation,Include,Documentation update
[main][refactor] refactor SequenceRowParallelOp forward (#3616),3616,[main][refactor] refactor SequenceRowParallelOp forward,Ignore,Ignore,Internal/CI/test change
[Doc] Update the modelslim website from gitee to gitcode. (#3615),3615,[Doc] Update the modelslim website from gitee to gitcode.,Documentation,Include,Documentation update
[BugFix] fix deepseek torchair precision (#3624),3624,[BugFix] fix deepseek torchair precision,Others,Include,Bug fix
perf : optimize memory for deepseek mtp (#2713),2713,perf : optimize memory for deepseek mtp,Highlights,Include,Major feature
[Misc] Add a model loader that utilizes HCCL for weight loading (#2888),2888,[Misc] Add a model loader that utilizes HCCL for weight loading,Others,Include,Miscellaneous
[TEST]Add initial multi modal cases for nightly test and deepseek-r1 tests (#3631),3631,[TEST]Add initial multi modal cases for nightly test and deepseek-r1 tests,Highlights,Include,Model support
[Structured Output] Replace `apply_grammar_bitmask()` method with that in vllm to avoid maintenance (#2524),2524,[Structured Output] Replace `apply_grammar_bitmask()` method with that in vllm to avoid maintenance,Others,Include,Miscellaneous
[Bugfix] fix delay free prefill req & D node support prefix cache (#3607),3607,[Bugfix] fix delay free prefill req & D node support prefix cache,Features,Include,New feature
[Doc] Update the Pangu Pro MoE tutorials. (#3651),3651,[Doc] Update the Pangu Pro MoE tutorials.,Documentation,Include,Model tutorial
[Test] add a new Qwen3-32b-int8 test case with feature_stack3 (#3676),3676,[Test] add a new Qwen3-32b-int8 test case with feature_stack3,Others,Include,Miscellaneous
[main][bugfix] Add 'layer_type' param to get_pergroup_param() for compatibility (#3682),3682,[main][bugfix] Add 'layer_type' param to get_pergroup_param() for compatibility,Others,Include,Bug fix
[BugFix]fix deepseek torchair recompile (#3678),3678,[BugFix]fix deepseek torchair recompile,Others,Include,Bug fix
support cp&dcp (#3260),3260,support cp&dcp,Highlights,Include,Major feature
[MoE][Multistream] Avoid performing communication in extra stream. (#3582),3582,[MoE][Multistream] Avoid performing communication in extra stream.,Others,Include,Miscellaneous
[Benchmark] Upgrade benchmark args for new vllm version (#3218),3218,[Benchmark] Upgrade benchmark args for new vllm version,Others,Include,Miscellaneous
[UT] Fix test_sample_recovered_tokens_pytorch_autoregressive (#3434),3434,[UT] Fix test_sample_recovered_tokens_pytorch_autoregressive,Ignore,Ignore,Internal/CI/test change
remove useless code (#3685),3685,remove useless code,Others,Include,Miscellaneous
[TEST]Add initial prefix cache case for nightly test (#3709),3709,[TEST]Add initial prefix cache case for nightly test,Ignore,Ignore,Internal/CI/test change
[1/N][Refactor] Refactor code to adapt with vllm main (#3612),3612,[1/N][Refactor] Refactor code to adapt with vllm main,Ignore,Ignore,Internal/CI/test change
[BugFix] Check all expert maps when using muilty instance. (#3576),3576,[BugFix] Check all expert maps when using muilty instance.,Others,Include,Bug fix
[TEST]Add initial multi modal cases of Qwen2.5-VL-32B-Instruct for nightly test (#3707),3707,[TEST]Add initial multi modal cases of Qwen2.5-VL-32B-Instruct for nightly test,Others,Include,Miscellaneous
"[Bugfix] The server fails to locate the request, leading to the server hanging. (#3703)",3703,"[Bugfix] The server fails to locate the request, leading to the server hanging.",Others,Include,Bug fix
[Main][Perf] Add fused matmul/reduce-scatter kernel for performance optimization. (#3693),3693,[Main][Perf] Add fused matmul/reduce-scatter kernel for performance optimization.,Performance,Include,Operator fusion
[Refactor] Refactor Ascend attention implementation forward (#3714),3714,[Refactor] Refactor Ascend attention implementation forward,Ignore,Ignore,Internal/CI/test change
[Feat] Add mrope fusion op (#3708),3708,[Feat] Add mrope fusion op,Performance,Include,Operator fusion
